,id,name,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
0,2162635,162635 (2000 SS164),2.6794149658,13569.2492241812,54839744.08284605,16.73,0
1,2277475,277475 (2005 WK4),0.5943468684,37187.969051060776,35047584.355530195,20.0,1
2,2512244,512244 (2015 YE18),1.6145071727,95258.90367084519,47943855.70371578,17.83,0
3,3596030,(2012 BV13),0.2157943048,43409.55052037018,43132470.249202885,22.2,0
4,3667127,(2014 GE35),0.5702167609,42580.4193933273,46593386.120297864,20.09,1
5,54138696,(2021 GY23),0.0812905344,55081.424072578404,49933122.91794045,24.32,0
6,54189957,(2021 PY40),0.3837425691,42386.81914640342,35750963.32361976,20.95,0
7,54230078,(2021 XD6),0.0119135167,35442.48414324137,41350525.33227867,28.49,0
8,2088213,88213 (2001 AF2),0.7835017643,73121.22643938121,54962284.95902149,19.4,0
9,3766065,(2016 YM),0.2366137501,43617.34346102153,25177467.513561327,22.0,0
10,54049873,(2020 OT6),0.5649889822,62237.90691303266,51922155.65362129,20.11,1
11,54099949,(2020 XW4),0.3420109247,57833.16106153429,54537561.98040639,21.2,0
12,54104555,(2021 AW1),0.1563291544,30136.635394845274,44284410.87688137,22.9,0
13,54235433,(2022 AM),0.0137416847,38522.047180497706,37110035.281441316,28.18,0
14,2198752,198752 (2005 EA60),0.648694146,10421.5590447794,61721089.93264297,19.81,0
15,3069224,(2000 YT134),1.0815335068,77814.44372763035,58437861.14141474,18.7,0
16,3739154,(2016 AF2),0.0156329154,39529.659069056375,37820555.927304454,27.9,0
17,3795026,(2017 YU3),0.0986370281,56608.98208220355,48044757.44663756,23.9,0
18,3797456,(2018 AN2),0.0651688382,42149.279215027556,18487049.91254496,24.8,0
19,3825138,(2018 LC3),1.0328564805,107601.45894695735,42550296.23368823,18.8,0
20,3835974,(2018 VK1),0.0218796303,24886.11322178067,46278705.29961137,27.17,0
21,3842597,(2019 KN2),0.0225964377,30276.03332841095,33742651.692954116,27.1,0
22,54053939,(2020 RD4),0.0068240151,38028.54241955663,33573771.70398384,29.7,0
23,2506491,506491 (2003 UW29),0.4508582062,114156.02584934646,33564358.55293561,20.6,1
24,3329370,(2006 GB1),0.1132504611,39095.0226744617,51654174.62120763,23.6,0
25,3623582,(2013 AU27),0.9863702813,69871.9773106199,58438716.66670029,18.9,0
26,3768024,(2017 CQ),0.3926810818,61617.50990083938,38170955.201714456,20.9,0
27,3781344,(2017 RV),0.2477650126,77255.35116217041,43346645.706271894,21.9,1
28,54076362,(2020 UF5),0.0714562102,11382.256882785834,42721324.13569712,24.6,0
29,54105263,(2021 AZ4),0.3048175575,86215.86192900602,57508508.82331829,21.45,0
30,54232321,(2022 AB),0.1132504611,31499.211351231344,30694749.268693678,23.6,0
31,2007480,7480 Norwan (1994 PC),2.3016536853,24889.1853045411,74035215.4339695,17.06,0
32,2020425,20425 (1998 VD35),0.4943561926,55289.31538940474,27201352.076547578,20.4,1
33,2337345,337345 (2001 KO20),0.4508582062,26308.596076490816,46270235.05966352,20.6,0
34,3608427,(2012 RO1),0.6824015094,50429.0751880435,68493001.73415387,19.7,0
35,3654336,(2013 XS3),0.4989304142,65649.20662598505,59657746.454174735,20.38,0
36,54016465,(2020 GF1),0.0326617897,27026.794484254693,32095955.61352721,26.3,0
37,54235525,(2022 AP1),0.0126485278,49750.28381976223,36518296.19033414,28.36,0
38,2002100,2100 Ra-Shalom (1978 RA),3.3731835891,58570.36199644206,46886756.67482185,16.23,0
39,2003362,3362 Khufu (1984 QA),1.30028927,68234.06124493596,37990281.0037251,18.3,1
40,2004688,4688 (1980 WF),0.7551617405,34604.12806127407,36815953.27385512,19.48,0
41,2252558,252558 (2001 WT1),0.5420507863,49543.81526444597,51912296.71890781,20.2,0
42,2452334,452334 (2001 LB),0.3750075218,41624.52181036668,35996500.36312549,21.0,0
43,3067492,(2000 YS134),0.1425738833,39811.24728004184,39958520.05937299,23.1,0
